gene,avg_methylation
A1BG,0.5410524275914631
A1CF,0.5609728929539296
A2M,0.6670587793586268
A4GALT,0.4704709617496498
A4GNT,0.5888835817524843
AAAS,0.1423198200621713
AACS,0.6744001490729757
AADAT,0.11902575449618066
AAK1,0.4890566978440285
AAMP,0.1677689754012924
AANAT,0.3509990255858439
AAR2,0.2575525250156349
AARS2,0.29201058783977996
AARSD1,0.1721007404181187
AASDHPPT,0.07359600609385276
AASS,0.343204702729045
AATF,0.4144231441153698
ABAT,0.5216065228125819
ABCA1,0.508278105945122
ABCA2,0.6992298013835401
ABCA7,0.5375794674796748
ABCB1,0.31078402089847845
ABCB10,0.2277889942788318
ABCB4,0.4350294956680631
ABCB6,0.296468419150858
ABCB7,0.30715893367961417
ABCC1,0.6211089422742492
ABCC11,0.39827903325386615
ABCC3,0.2921552678642597
ABCC8,0.42350082840601144
ABCC9,0.40975972498573693
ABCD1,0.4608665362466119
ABCD2,0.15089972899729012
ABCD3,0.16106259306411788
ABCD4,0.24925511517615134
ABCE1,0.14514773817089976
ABCF1,0.2913124064722804
ABCG1,0.35281741309223436
ABCG2,0.24586480594270246
ABCG4,0.349025838414634
ABCG8,0.7040521775067754
ABHD12,0.24057042813216584
ABHD5,0.210864158465269
ABHD6,0.3701239118943385
ABI1,0.2895807092974772
ABI2,0.2644108689024389
ABI3,0.5389172707768746
ABL1,0.45190778796884584
ABL2,0.3822095339151921
ABLIM2,0.7087691262774034
ABLIM3,0.3733885732323234
ABR,0.6480928999046821
ABRA,0.6353400116144019
ABRAXAS1,0.5
ABRAXAS2,0.5
ABT1,0.4665385148210146
ABTB1,0.5711509198457371
ACAA1,0.1905112548322174
ACAA2,0.17188408611863856
ACACA,0.44422521047192787
ACACB,0.5357706388637963
ACAD10,0.2715289962936394
ACAD8,0.34167450217980444
ACAD9,0.15676421197493237
ACADL,0.35147465519744425
ACADM,0.0846051906527838
ACADS,0.5446264614789005
ACADSB,0.13144627935862702
ACADVL,0.32541738105992185
ACAN,0.5490390737087516
ACAT1,0.1433339248488637
ACAT2,0.23013376658108703
ACBD3,0.20395333695775758
ACBD6,0.5
ACE,0.3865717009183979
ACE2,0.6065314060685255
ACER1,0.6130927901987357
ACER2,0.24898332365466497
ACER3,0.5168790806754224
ACHE,0.3212155291109361
ACIN1,0.2678041106110466
ACKR1,0.4756895359078594
ACKR2,0.36894639012271047
ACKR3,0.4672618879016449
ACLY,0.2141475183177758
ACMSD,0.7661473915989157
ACO1,0.38377456762749435
ACO2,0.1896353578829903
ACOT1,0.4262603206865402
ACOT11,0.4355965439088915
ACOT12,0.45210943428184347
ACOT13,0.04557818710478769
ACOT2,0.19538207994579923
ACOT4,0.16877885694928363
ACOT7,0.6033485298283405
ACOT8,0.20033892146133
ACOX1,0.18359108514001823
ACOX2,0.5634209204413473
ACOX3,0.6074185858828982
ACP1,0.2148411381846032
ACP2,0.15369637998830948
ACP5,0.38323972673893414
ACR,0.6957543834688337
ACSBG1,0.7146041971544717
ACSF3,0.7426376559547778
ACSL1,0.4294633484409559
ACSL3,0.41485132537262864
ACSL4,0.46654270655042085
ACSL5,0.37299065040650436
ACSM1,0.7448403718759411
ACSM2B,0.5
ACSM5,0.6316480239385724
ACSS1,0.3478552201897018
ACSS2,0.21654728402985782
ACSS3,0.3617935623144921
