gene,log2FC,tumor_var,normal_var,zscore_var,zscore_mean
A1BG,-0.08063065577694345,0.03274681962998939,0.02638704287950235,1.2410189265818543,-0.4963692058687001
A1CF,0.02371100894851546,0.036938590822696085,0.0037929019485636,9.738873117108824,0.3850031001155033
A2M,-0.2851340334552117,0.03420857088331311,0.044162039950600154,0.7746148258001438,-1.3568270538803007
A4GALT,-0.026235473458557035,0.08027811157556122,0.04883276013443673,1.6439396698969175,-0.11872256472960944
A4GNT,-0.046939367793987025,0.02920806464756657,0.032145100452383335,0.9086319294858887,-0.26180614888481135
AAAS,0.04380821754546638,0.013763407737288706,0.005844351268950125,2.3549932411508063,0.5730432848525682
AACS,0.185009208325982,0.06056826147230543,0.02340536566491863,2.5877938563074374,1.2093043901003608
AADAT,-0.10126835801203882,0.19152224439342866,0.029016155931304306,6.600538156979081,-0.5945026982272115
AAK1,-0.22157890943207725,0.07282418605644239,0.04601682196990603,1.5825557467672982,-1.0329281411869375
AAMP,0.0007581592113035107,0.017770184333056604,0.003123813181075932,5.688619422156366,0.013564940379034666
AANAT,0.08415869980587337,0.07575996558523622,0.043156685484296964,1.7554630235170032,0.40511187704225926
AAR2,-0.08448775534199449,0.01791225190100594,0.0038566820441697258,4.644472034733712,-1.3604633731727245
AARS2,0.028253136137782686,0.02388078815394064,0.007794629808922652,3.063748855218742,0.32001395345064415
AARSD1,0.002925895887178509,0.09034787878098974,0.08642655787604864,1.0453717121369683,0.009952570443052842
AASDHPPT,-0.18631441190119435,0.07369388883164246,0.007676551134147076,9.599869465316928,-2.1264901551137436
AASS,-0.7976925647341513,0.24981730731636143,0.026594383739533267,9.393611439282992,-4.891483337846187
AATF,-0.0015644032725719015,0.02305131402820202,0.005138994477446231,4.485568943373754,-0.02182275818297395
ABAT,-0.28530899981461855,0.20017626702083507,0.05224355509500406,3.831597345487265,-1.2482429162479536
ABCA1,-0.03870509781307119,0.13752093405089816,0.06235572201005136,2.205426055827414,-0.15499939863270773
ABCA2,-0.005622391938135074,0.07375925559101944,0.044361116131716755,1.6627006266482114,-0.02669438285070925
ABCA7,0.5505087378228783,0.11570345275556909,0.2103418932567227,0.5500732686396083,1.2003318426101368
ABCB1,-0.9520210652073267,0.24287679491215183,0.14964608712545627,1.623007988899404,-2.461012815460884
ABCB10,-0.17278542197171864,0.09484452498082024,0.009501420867365504,9.982141229695706,-1.7726084698646785
ABCB4,-0.0852116594427661,0.11742550353543978,0.03289235349939585,3.569993966457785,-0.4698416883757471
ABCB6,0.33585093191879134,0.19322562991636658,0.1548695329560262,1.2476671571756537,0.8534214679303044
ABCB7,-0.13313818401804234,0.04408206585199852,0.008032325325015044,5.488082724278351,-1.4855319061418963
ABCC1,0.22424260965691856,0.029076559754763143,0.01299020998873854,2.238344089893097,1.9674787625065213
ABCC11,-0.19158550321588852,0.094034959727363,0.24898611144282015,0.37767150618342105,-0.3839503631749407
ABCC3,0.5576195485539388,0.2557192445278335,0.41986594141100514,0.6090497449458778,0.8605629947337764
ABCC8,-0.5471411007662108,0.10776892284409485,0.2598689820221376,0.41470483320288876,-1.0733024414124348
ABCC9,-1.3925527385398093,0.1691628801648095,0.15595373087888836,1.0846991553935905,-3.5262554246968447
ABCD1,0.00426625879760234,0.04774381421921808,0.026740949992526488,1.7854195244582358,0.026089080987785927
