gene,log2FC,tumor_var,normal_var,zscore_var,zscore_mean
A1BG,0.07262048650255441,0.018147331546233346,0.004009086232819003,4.52655056348663,1.1469287918609312
A1CF,0.2063629224197867,0.584431306006068,0.6998537256792215,0.8350763660490143,0.24667664331314526
A2M,0.024934010450172295,0.03032745697687252,0.011564312104160356,2.6225041925288375,0.23186341874167377
A4GALT,0.14956297395298934,0.048424510610441125,0.024299695438071187,1.9928031910462858,0.9594529378793222
A4GNT,0.37313552776359094,0.3108831278014139,0.14375057321255902,2.1626566131442257,0.9841511615684534
AAAS,0.09944777361762114,0.014197741397655514,0.007188413763704957,1.9750868361725884,1.1729473847903795
AACS,-0.22091797318729678,0.05599162768883144,0.03423005904944377,1.6357444083854509,-1.1940629580565982
AADAT,-0.18494568163661262,0.07152926570824078,0.017069960437525258,4.190359196790901,-1.4155588783219404
AAK1,-0.21579130923925893,0.057779171487590666,0.01856100479871507,3.1129333844895384,-1.5839198753231583
AAMP,-0.01964736918240151,0.015266213746824134,0.004748094931925149,3.2152292584079265,-0.2851311784617064
AANAT,0.43899624412151317,0.12119735255425342,0.00918074194350042,13.201259037681162,4.58165005136171
AAR2,0.0029622179323252062,0.01438400902889499,0.0076060431903248,1.8911290231946145,0.033965468791109274
AARS2,0.07261640781691447,0.032059034129567725,0.018984027960382496,1.6887371951027086,0.5270363612228077
AARSD1,0.4685277911603928,0.18158494074851853,0.028669362779411973,6.3337627050057135,2.7671094432827075
AASDHPPT,-0.013921749108354309,0.03149321706619864,0.007126874194660824,4.418938261852879,-0.16490896141392652
AASS,-0.2355652809753752,0.09806816858565132,0.03458047524218312,2.83594045191208,-1.2667642637590408
AATF,0.10614884695834093,0.022001058147575126,0.009121530143038611,2.4119920454756096,1.1114282520669037
ABAT,-0.680352561305106,0.14461691846848831,0.16320244807463066,0.8861197866490128,-1.6841109111658086
ABCA1,0.3963568000822555,0.06082991081727592,0.03328662116084973,1.8274582608829462,2.1724583396511146
ABCA2,-0.0019108727170693562,0.04703026007612031,0.02702015728076089,1.740562039940721,-0.011624862464769632
ABCA7,0.02573647580739813,0.10538979995037154,0.04187983432853207,2.516480822813837,0.12576117881918356
ABCB1,-0.5833094649063928,0.2826023355646187,0.014621886554077744,19.327351126644242,-4.823889138813802
ABCB10,0.01619366960889357,0.05598399489834116,0.012130220480051097,4.61524957360918,0.14703168251503346
ABCB4,0.610804257396806,0.29812333305318106,0.08389981879213804,3.553325112558136,2.108732755382057
ABCB6,0.4918633969003235,0.10406307036410625,0.008229895720954858,12.644518702605453,5.421848006080837
ABCB7,0.02850371441408761,0.03461300877709979,0.006818821250421688,5.076098566883426,0.34518093841491587
ABCC1,0.18278990312481413,0.04257828192078986,0.034525998499596894,1.2332237667590402,0.9837371648402028
ABCC11,-0.02907346500509575,0.044707836054853956,0.02403225266838017,1.8603264817399812,-0.18754243644367247
ABCC3,0.6378254160154744,0.1526692234269724,0.11297440679932465,1.3513611423351597,1.897631086163431
ABCC8,-0.0516778212602968,0.03479087068116114,0.02215738119955936,1.5701706969708598,-0.34717223136855346
ABCC9,-0.002993307338264417,0.16887219842605253,0.10322415448435508,1.6359756034780328,-0.009316668506465661
ABCD1,0.28772008412325034,0.03386926203398821,0.02100038251119,1.61279262489343,1.9854391257209976
ABCD2,0.26687635116201236,0.15713578642027387,0.1183152065809139,1.3281114994530412,0.7758715155565941
ABCD3,-0.23363919215239237,0.038372422298058026,0.007444434179471826,5.154511595235904,-2.7078827065409534
ABCD4,0.07276693284292568,0.03121616365628487,0.0084219411722384,3.7065283427986926,0.7929174358119635
ABCE1,0.03672252173041102,0.029415715207988673,0.011672193140410158,2.520153226915762,0.33990399097730684
ABCF1,-0.08785292296610114,0.02764592625666569,0.00647692420689254,4.268372667885439,-1.0916208146642108
ABCG1,0.35275524159855465,0.03949198824975185,0.05697705295683485,0.6931209355399711,1.4778266175859889
ABCG2,0.18892714828481316,0.2162848006794133,0.0593918904024791,3.6416554383725304,0.7752304000149159
ABCG4,-0.07242474755788947,0.04396899179038973,0.10946205352007961,0.40168250436050973,-0.21890475456952999
ABCG8,-0.2830488566867015,0.061389566625906264,0.09242206544580335,0.6642306285819304,-0.9310512125470779
ABHD12,0.03581647735881521,0.00859938806595189,0.01796247996866483,0.478741692736935,0.2672389281712759
ABHD5,-0.26794940037954795,0.04142010623365981,0.018532489922108226,2.234999528274284,-1.96827557497897
ABHD6,0.021510738685730946,0.05638993163852988,0.02908895648877043,1.9385340158317053,0.12612211744458557
ABI1,-0.009186871847518319,0.021903316738208976,0.006384575571857492,3.43066136373362,-0.11497452982647133
ABI2,-0.14141915662664095,0.06036142536670376,0.013193149375343667,4.575209728126907,-1.2312152982961053
ABI3,0.29390152768124045,0.04547797803455948,0.036146936705098366,1.258141966650939,1.5458455289777144
ABL1,0.01166505098606363,0.028290464042197202,0.00813772825260726,3.476457208205887,0.12931087481061077
ABL2,0.2364043113846379,0.07507527514275092,0.030750831012269282,2.441406383872898,1.348115072501556
ABLIM2,-0.04924273399698409,0.13356890636121022,0.11387084041689101,1.1729860416609108,-0.14592708067685398
ABLIM3,0.7105008310978973,0.12866924679963204,0.2659283759790019,0.4838492557476904,1.3777875295357298
ABR,0.09969216265128589,0.05037111439034202,0.016549543695854735,3.043655783872687,0.7749398697749483
ABRA,0.04528771700933651,0.06154579185510516,0.06625090872580794,0.9289803421387652,0.175948070376502
ABRAXAS1,-0.059279784267087354,0.13646397446302846,0.023795754933163816,5.734803322959109,-0.38428804206682055
ABRAXAS2,-0.05633908589027126,0.03225935982417976,0.00945147479729155,3.4131562021859407,-0.5795087608781532
ABT1,0.11603491575967917,0.017717790857149425,0.012354257910704526,1.434144485667373,1.0439515886671293
ABTB1,0.12985994378488863,0.03523255084831211,0.013294574621529612,2.650145029180212,1.126258255840413
ACAA1,-0.3230683909129377,0.03080516995183497,0.028180478745031736,1.0931386308426707,-1.9245105012069537
ACAA2,-0.07956485802198943,0.04143902593878683,0.006734567486681718,6.153182965459425,-0.9695415764627188
ACACA,-0.18685522240139285,0.05603635259764652,0.040293971989681585,1.3906882302890429,-0.9308617826261916
ACACB,-0.24364909872130536,0.0725601140032039,0.040909823153380286,1.7736599283541132,-1.2046226039740782
ACAD10,-0.18544836380766938,0.04429212393998706,0.013522759975852157,3.275376034114362,-1.5947416474236027
ACAD8,-0.2887273658327736,0.03936032720360655,0.008026563195343776,4.903758463702066,-3.2227241531110655
ACAD9,-0.0024493821559050666,0.0194051739246033,0.005939734005203107,3.2670105946839865,-0.0317814019681698
ACADL,0.019111698403685207,0.27190612374785467,0.01630873394596009,16.67242378524482,0.14965428603962613
ACADM,-0.3117110231170068,0.06510314167302493,0.010380664626318278,6.2715774005421405,-3.0594233746954167
ACADS,0.014263021256865738,0.02843220546719075,0.00919782898855204,3.091186572676936,0.14871982445355192
ACADSB,-0.43447550999454077,0.07963766657851885,0.019933942396520046,3.995078594810305,-3.077291960292049
ACADVL,0.03489806809754148,0.01354868032754442,0.005062423006327696,2.6763232370367827,0.49048097924253875
ACAN,0.8658391274509372,0.31183414950012894,0.24832946911136267,1.2557275244698722,1.7374930566292128
ACAT1,-0.29534449009778463,0.06241293517636444,0.01308535897938812,4.769676955341956,-2.5818799943974966
ACAT2,-0.16609348481386244,0.03784711814231779,0.01052697792605587,3.5952500715937115,-1.6188281247412188
ACBD3,0.01735340162708665,0.0364204318132973,0.009649856174692502,3.774194262999765,0.17665429380042047
ACBD6,0.1659340823432216,0.021666680335808586,0.011862303752228388,1.826515387598163,1.5235302358526968
ACE,0.5385540960261166,0.14001794316501473,0.2566198293784638,0.5456240209657212,1.063124746414606
ACE2,0.14068790450216762,0.6019184303262939,0.5073250011609627,1.1864552879295591,0.19752116047750526
ACER1,0.06083278418920579,0.03674702329927289,0.012763365262092843,2.8791014395248435,0.5384620429964234
ACER2,-0.04306675475627775,0.21213632988840642,0.09712523152692916,2.1841526300978646,-0.13818983991168807
ACER3,0.052715104860769024,0.03298156856801307,0.014332918189175453,2.3011063157341893,0.4403193425520046
ACHE,0.22047512577828643,0.26831235888787475,0.11531670416285639,2.3267432141396425,0.6492522873068987
ACIN1,0.056479391045775706,0.02841118335116975,0.01218409347977139,2.33182578567206,0.511674052907882
ACKR1,0.32587740506980856,0.1975901947360644,0.291052292430035,0.678882111136652,0.6040442259418259
ACKR2,-0.7928664350976546,0.12288434192542458,0.1646834528138131,0.7461851195478304,-1.9537772619781677
ACKR3,0.45104541800864695,0.06788788520232754,0.04346513440743852,1.5618929086000795,2.1634644430768493
ACLY,0.2231224878389524,0.037425006269649494,0.008507383808258428,4.399120471480278,2.419052704535619
ACMSD,0.05541804419418339,0.3335320290756288,0.276890817695314,1.2045615374744636,0.10531662126122922
ACO1,-0.2122754165760674,0.03593446452924089,0.01587008847849041,2.264288858751155,-1.685039274708101
ACO2,-0.1505117487966845,0.05307527037810446,0.007690624690590123,6.9012950850461845,-1.716285735207109
ACOT1,-0.3448223338055707,0.1635396990666505,0.054584824013042335,2.996065335441492,-1.4759084855560667
ACOT11,-0.7708006154548621,0.14926744025329663,0.03548398177631177,4.2066147253221695,-4.091908171968127
ACOT12,-1.3605380750747902,0.068700478199519,0.08469172859271484,0.8111828550566222,-4.675092429939992
ACOT13,-0.12296341468992011,0.02873764244031079,0.01280682831376196,2.243931263561166,-1.0865635230234651
ACOT2,-0.25372199075496615,0.04524114237077893,0.010771487872389643,4.200082932530122,-2.444670105976178
ACOT4,-0.08816441282167231,0.12328488891458424,0.03841034343513837,3.2096794219705242,-0.44985155318437026
ACOT7,0.1344863380874317,0.0537917300556503,0.07359194424231508,0.7309459018847375,0.4957503505738504
ACOT8,-0.11666972252111885,0.022245647536418653,0.012729618702183174,1.7475501864485106,-1.034071258725493
ACOX1,-0.2035106858541993,0.025044176377744296,0.008154205570819901,3.07132021142142,-2.2537014801200046
ACOX2,-0.3550880365553226,0.14503950135178978,0.16027781149368905,0.904925641298145,-0.8869504096655243
ACOX3,-0.015330924034637317,0.024109479659251615,0.016956729083468618,1.4218237220500463,-0.11773275069242485
ACP1,0.01711166237849726,0.014538875254991533,0.003825257461778462,3.800757308563494,0.27666987082033245
ACP2,-0.0034588284203906916,0.014282478449739297,0.004192163671414166,3.4069467628684706,-0.05342074049767328
ACP5,0.22904972340370522,0.11679526687781465,0.21824077696798744,0.5351670228655149,0.4902999196810998
ACR,0.39015684266936534,0.1428220578081672,0.059033923054628484,2.4193218139340544,1.6057887303077112
ACSBG1,0.12170055107697647,0.09757993012515773,0.07752191712090949,1.2587398989754617,0.4370994828213772
ACSF3,-0.025973199573666506,0.05619136054810071,0.010624457031417709,5.2888689164948905,-0.25198348634061135
ACSL1,-0.17096946538972402,0.04217664177899299,0.010146270304748442,4.15686163606881,-1.6973262960652968
ACSL3,-0.2273245649647535,0.03822961283064101,0.01111639010714175,3.439031237854842,-2.156078054271324
ACSL4,-0.30829847102321706,0.03845363597811162,0.013001064664438325,2.9577297683391612,-2.703845746991767
ACSL5,0.13020234481560955,0.06718801040668575,0.04048566023371248,1.6595508142593705,0.6470952210680413
ACSM1,0.05692013200428647,0.26710324995816126,0.14257408510443892,1.8734347813805134,0.15074593224439384
