gene,HiC_1,HiC_2,HiC_3,HiC_4,HiC_5
ACADSB,-0.012633491,-0.011783969,-0.014054759,-0.011853997,-0.0002941921
ACADVL,-0.0126355,-0.01177789,-0.014058086,-0.011843864,-0.016103549
ACAN,-0.012635391,-0.011775819,-0.01405361,-0.011845623,-0.016105594
ACAT1,-0.01262576,-0.011809869,0.01403708,-0.012209722,-0.015709449
ACAT2,-0.012641046,-0.011744542,-0.014055245,-0.011531469,-0.016815886
ACBD3,-0.012635375,-0.011775856,-0.014053682,-0.011844239,-0.016104737
ACBD6,-0.012635365,-0.011775755,-0.014053708,-0.01184366,-0.016104203
ACE,-0.012635442,-0.011776781,-0.014055712,-0.011844774,-0.016104765
ACE2,0.048794653,-0.011792469,-0.014039298,-0.012026326,-0.0159899
ACER1,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
ACER2,-0.012634679,0.122680984,-0.014054071,-0.011830601,-0.01612575
ACER3,-0.0126278745,-0.011805753,0.111327484,-0.01207327,-0.015745884
ACHE,-0.012636603,-0.011765855,-0.014053247,-0.011783258,-0.016222168
ACIN1,-0.0126354555,-0.01177621,-0.014053198,-0.011851121,-0.016101435
ACKR1,-0.01263539,-0.011775817,-0.014053612,-0.011845528,-0.016105523
ACKR2,-0.012633599,-0.011782327,-0.014059506,-0.011849664,-0.016079638
ACKR3,-0.012635264,-0.011775488,-0.01405217,-0.01184947,-0.016093688
ACLY,-0.012635486,-0.011777631,-0.014057526,-0.011844083,-0.01610381
ACMSD,-0.01263534,-0.011775708,-0.014052864,-0.011847958,-0.016098307
ACO1,-0.012634761,0.10722763,-0.014054018,-0.011832328,-0.016123433
ACO2,-0.012635385,-0.011775927,-0.014053533,-0.011846019,-0.016105516
ACOT1,-0.01263548,-0.011775891,-0.014053437,-0.01184745,-0.016105188
ACOT11,-0.012635378,-0.011775473,-0.014053835,-0.011844183,-0.016104046
ACOT12,-0.012630038,-0.011742609,-0.014019801,-0.011836784,-0.016532365
ACOT13,-0.012635988,-0.011772516,-0.014053789,-0.011812552,-0.016180374
ACOT2,-0.012635773,-0.011775656,-0.014053271,-0.011847591,-0.016109345
ACOT4,-0.012635526,-0.01177629,-0.014053043,-0.01185284,-0.016100867
ACOT7,-0.012635384,-0.011775825,-0.014053684,-0.011844517,-0.016105019
ACOT8,-0.012635389,-0.011775828,-0.014053587,-0.01184575,-0.016105602
ACOX1,-0.01263544,-0.011776748,-0.014055628,-0.011844821,-0.016104722
ACOX2,-0.012633506,-0.011782639,-0.014058891,-0.011852667,-0.016075822
ACOX3,-0.012639768,-0.011758501,-0.014057976,-0.011734981,-0.016307734
ACP1,-0.012635304,-0.011775812,-0.014052549,-0.011848079,-0.016099783
ACP2,-0.012635099,-0.011775659,-0.009375328,-0.011842363,-0.016109731
ACP5,-0.012635391,-0.011775818,-0.014053607,-0.011845626,-0.01610559
ACR,-0.012635388,-0.011775849,-0.014053591,-0.01184573,-0.016105564
ACSBG1,-0.012635391,-0.011775819,-0.01405361,-0.011845623,-0.016105594
ACSF3,-0.0126350885,-0.011769539,-0.014044233,-0.0059852703,-0.01618028
ACSL1,-0.012636076,-0.01177315,-0.014054394,-0.011827508,-0.01613736
ACSL3,-0.012634569,-0.011774916,-0.0140448585,-0.011873213,-0.016023127
ACSL4,0.0030619467,-0.011799077,-0.013969405,-0.012142944,-0.015764654
ACSL5,-0.012629342,-0.011802117,-0.014058023,-0.011899291,0.024251185
ACSM1,-0.012633348,-0.011789247,-0.014038524,0.12690282,-0.0167151
ACSM2B,-0.012633102,-0.011791191,-0.014036813,0.14439984,-0.01679084
ACSM5,-0.012634877,-0.011778896,-0.014049456,0.022598663,-0.016259154
ACSS1,-0.012635389,-0.011775824,-0.014053595,-0.011845702,-0.016105598
ACSS2,-0.012635389,-0.011775828,-0.014053586,-0.011845753,-0.016105602
ACSS3,-0.012635397,-0.011775922,-0.014053556,-0.011846162,-0.016104557
ACTA1,-0.0126353875,-0.011775829,-0.014053622,-0.011845361,-0.016105432
ACTBL2,-0.012631451,-0.011746646,-0.014026805,-0.011825426,-0.016491046
ACTC1,-0.012635391,-0.01177582,-0.01405361,-0.011845624,-0.016105592
ACTG1,-0.012635394,-0.011775885,-0.014053753,-0.011845566,-0.016105542
ACTG2,-0.012635416,-0.011775256,-0.014053381,-0.01184407,-0.016108915
ACTL6A,-0.012633039,-0.011784909,-0.014056087,-0.011847456,-0.015990183
ACTL6B,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
ACTL7A,-0.012635379,-0.009659193,-0.014053616,-0.01184539,-0.016105907
ACTN1,-0.012654854,-0.011705047,-0.014089072,-0.011175813,-0.017013868
ACTN2,-0.012635021,-0.01177751,-0.014052364,-0.0118376305,-0.016094811
ACTN3,-0.012634497,-0.011775323,0.0014078933,-0.011864657,-0.016118478
ACTN4,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
ACTR10,-0.012635452,-0.011777044,-0.0140525,-0.011861357,-0.016091831
ACTR1A,-0.012634624,-0.011779047,-0.014053995,-0.011845852,-0.00898601
ACTR1B,-0.012635382,-0.01177567,-0.014053407,-0.011845488,-0.01610602
ACTR2,-0.01263539,-0.01177571,-0.014053278,-0.011846288,-0.016103465
ACTR3,-0.012635321,-0.011775574,-0.014052579,-0.011847528,-0.01610027
ACTR3B,-0.012668987,-0.011515223,-0.014029312,-0.009692528,-0.019662822
ACTR3C,-0.012803306,-0.010596436,-0.014070348,-0.001107576,-0.033507176
ACTR5,-0.012635388,-0.011775832,-0.014053577,-0.011845807,-0.016105607
ACTR6,-0.01263539,-0.011775821,-0.014053606,-0.011845633,-0.016105564
ACTR8,-0.012633126,-0.011784089,-0.014060193,-0.011853428,-0.016070971
ACVR1,-0.012635057,-0.011775688,-0.014049807,-0.011858352,-0.016068276
ACVR1B,-0.012635391,-0.011775834,-0.014053603,-0.011845717,-0.016105447
ACVR1C,-0.01263511,-0.011775799,-0.01405047,-0.011853627,-0.016085185
ACVR2A,-0.01263523,-0.011775968,-0.014051701,-0.01185132,-0.016090784
ACVR2B,-0.012634801,-0.011777827,-0.014056189,-0.01184419,-0.016098747
ACVRL1,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
ACY1,-0.012634665,-0.0117785195,-0.014055337,-0.01184839,-0.016092313
ACYP2,-0.012635358,-0.011775234,-0.014046366,-0.011862361,-0.016067192
ADA,-0.012635388,-0.01177583,-0.01405358,-0.011845785,-0.016105605
ADAM10,-0.012635391,-0.0117758205,-0.014053613,-0.01184561,-0.016105613
ADAM11,-0.012635463,-0.011777192,-0.014056576,-0.011844458,-0.016104234
ADAM12,-0.012622048,-0.011832734,-0.014065105,-0.011899417,0.087116994
ADAM15,-0.01263539,-0.011775818,-0.014053616,-0.011845519,-0.016105527
ADAM17,-0.012635314,-0.011775406,-0.014052606,-0.011847604,-0.01609904
ADAM19,-0.012633346,-0.0117658945,-0.014041864,-0.011849346,-0.016225908
ADAM2,-0.01263726,-0.011764803,-0.014080977,-0.011797313,-0.016269341
ADAM21,-0.0126354825,-0.01177731,-0.014052237,-0.011864963,-0.016088929
ADAM22,-0.012647054,-0.011900735,-0.013697584,-0.014347134,-0.016703745
ADAM28,-0.012637991,-0.0117587205,-0.014094902,-0.011783518,-0.016346863
ADAM30,-0.01263539,-0.011775809,-0.014053613,-0.011845586,-0.016105546
ADAM8,-0.012635247,-0.011776427,-0.014053569,-0.011846113,-0.014821874
ADAM9,-0.01263799,-0.011762791,-0.014085711,-0.011770534,-0.01631217
ADAMTS1,-0.012635422,-0.011775616,-0.014053352,-0.011846268,-0.016110862
ADAMTS12,-0.012591244,-0.011753157,-0.01388041,-0.012538377,-0.015820341
ADAMTS13,-0.012635329,-0.00024387977,-0.014053648,-0.011844336,-0.01610732
ADAMTS18,-0.012633985,-0.011729473,-0.01396449,0.025793811,-0.016739298
ADAMTS2,-0.012631617,-0.011767288,-0.014036318,-0.011882951,-0.016175427
ADAMTS4,-0.01263539,-0.011775799,-0.014053618,-0.011845288,-0.01610546
ADAMTS5,-0.012635573,-0.011774643,-0.014052125,-0.011849335,-0.016136106
ADAMTS7,-0.012635391,-0.011775819,-0.01405361,-0.011845624,-0.016105592
ADAMTSL1,-0.012629403,1.1181886,-0.014057497,-0.011719354,-0.016275022
ADAMTSL2,-0.012635378,-0.00955646,-0.014053617,-0.011845377,-0.016105924
ADAMTSL3,-0.012635393,-0.011775824,-0.014053628,-0.011845581,-0.016105635
ADAMTSL5,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
ADAP1,-0.012636723,-0.01176573,-0.014053218,-0.011774805,-0.016235715
ADAP2,-0.012635919,-0.0117858425,-0.014075253,-0.011837124,-0.016095623
ADAR,-0.012635388,-0.0117757935,-0.014053625,-0.011845404,-0.016105384
ADCY1,-0.012641924,-0.011739625,-0.014031303,-0.01168665,-0.016707927
ADCY10,-0.01263538,-0.011775778,-0.0140536735,-0.01184469,-0.016104903
ADCY2,-0.012571899,-0.011849403,-0.013857296,-0.01316862,-0.014062443
ADCY3,-0.012635337,-0.011775629,-0.014052657,-0.011848657,-0.016096065
ADCY5,-0.01263184,-0.011788769,-0.014062981,-0.011856566,-0.016033975
ADCY6,-0.012635391,-0.01177583,-0.014053604,-0.011845692,-0.016105477
ADCY7,-0.012635071,-0.011773746,-0.014046778,0.003605811,-0.016202098
ADCY8,-0.012636326,-0.011769153,-0.014069673,-0.011824959,-0.016196735
ADCY9,-0.012632897,-0.011790046,-0.01403319,0.15385152,-0.016846908
ADCYAP1,-0.01263525,-0.011776487,-0.01405361,-0.011849807,-0.016098425
ADD1,-0.012639912,-0.011758934,-0.014060262,-0.01171144,-0.016319713
ADD2,-0.012635365,-0.011775429,-0.014052778,-0.011845821,-0.016105378
ADD3,-0.012627612,-0.011808281,-0.014058638,-0.011838843,0.054776832
ADGRA2,-0.012636752,-0.011767693,-0.014075109,-0.011811837,-0.016228475
ADGRB1,-0.012635988,-0.011773594,-0.014058031,-0.011824961,-0.016143994
ADGRE5,-0.01263539,-0.011775819,-0.014053609,-0.011845625,-0.01610559
ADGRF5,-0.01263601,-0.011772389,-0.014053806,-0.011811213,-0.016183358
ADGRG3,-0.012635173,-0.011775335,-0.014050382,-0.0005436058,-0.016166434
ADGRL1,-0.01263539,-0.011775819,-0.014053609,-0.011845625,-0.016105592
ADGRL2,-0.012635342,-0.01176297,-0.014060026,-0.011803296,-0.016062692
ADGRL3,-0.012739225,-0.011426705,-0.014317487,-0.008340867,-0.02073034
ADH1A,-0.012637618,-0.011768501,-0.014059043,-0.011759528,-0.016216436
ADH1B,-0.0126416,-0.011755365,-0.014068643,-0.011606691,-0.0164143
ADH1C,-0.0126445,-0.0117461495,-0.014076388,-0.011488632,-0.016560012
ADH4,-0.0126434555,-0.011750328,-0.014075443,-0.011513974,-0.016512178
ADH5,-0.012644878,-0.0117451865,-0.01407791,-0.011468371,-0.016580408
ADH7,-0.012639924,-0.011760846,-0.014064509,-0.011672079,-0.016330605
ADHFE1,-0.012635456,-0.011775074,-0.01405593,-0.011845459,-0.016115561
ADI1,-0.012635307,-0.011775638,-0.014052519,-0.011847472,-0.016101217
ADIPOQ,-0.012634785,-0.011778072,-0.014054937,-0.011847293,-0.016089072
ADIPOR1,-0.0126353875,-0.011775825,-0.014053617,-0.011845386,-0.016105436
ADIPOR2,-0.012635393,-0.011775837,-0.014053624,-0.011845428,-0.016105054
ADK,-0.012584603,-0.011990697,-0.014085495,-0.01191311,0.42411184
ADM,-0.012634834,-0.01177642,-0.010831022,-0.011850076,-0.016101224
ADNP,-0.012635387,-0.01177584,-0.014053557,-0.01184592,-0.016105618
ADO,-0.012627832,-0.01180766,-0.014060519,-0.011842792,0.054224007
ADORA1,-0.012635387,-0.011775827,-0.0140536195,-0.011845265,-0.016105397
ADORA2A,-0.012635387,-0.011775885,-0.014053562,-0.011845864,-0.016105551
ADORA2B,-0.0126356585,-0.011780891,-0.014064561,-0.011841325,-0.016100546
ADPGK,-0.01263539,-0.011775819,-0.014053609,-0.011845624,-0.016105592
ADRA1A,-0.012638855,-0.011749792,-0.014118538,-0.011775377,-0.016459933
ADRA1B,-0.012634752,-0.011774171,-0.014050553,-0.011850758,-0.016120875
ADRA1D,-0.01263539,-0.011775821,-0.014053601,-0.011845666,-0.016105594
ADRA2A,-0.012634737,-0.011778428,-0.014053656,-0.011840922,-0.009545503
ADRA2B,-0.012635404,-0.011775721,-0.014053604,-0.011845301,-0.016106231
ADRA2C,-0.012636037,-0.01177324,-0.0140542,-0.011829776,-0.016135292
ADRB1,-0.012634945,-0.011777757,-0.014053836,-0.0118489815,-0.012645535
ADRB2,-0.012635219,-0.01177498,-0.01405259,-0.011845042,-0.016114924
ADRB3,-0.01263569,-0.011774591,-0.014057039,-0.011836334,-0.016127821
ADRM1,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
ADSL,-0.012635385,-0.011775908,-0.014053542,-0.011845955,-0.016105536
AEBP2,-0.012635399,-0.011775977,-0.014053555,-0.011846643,-0.016104052
