gene,amp_freq,del_freq,mean_cnv
A1BG,0.6352040816326531,0.02806122448979592,3.25765306122449
A1CF,0.4744897959183674,0.05612244897959184,2.7806122448979593
A2M,0.6173469387755102,0.02040816326530612,3.239795918367347
A4GALT,0.44387755102040816,0.07908163265306123,2.5969387755102042
A4GNT,0.6760204081632653,0.01020408163265306,3.556122448979592
AAAS,0.5994897959183674,0.02806122448979592,2.99234693877551
AACS,0.6147959183673469,0.02295918367346939,3.0153061224489797
AADAT,0.43112244897959184,0.07653061224489796,2.622448979591837
AAK1,0.6352040816326531,0.017857142857142856,3.3469387755102042
AAMP,0.35459183673469385,0.09948979591836735,2.436224489795918
AANAT,0.6887755102040817,0.012755102040816327,3.482142857142857
AAR2,0.7142857142857143,0.002551020408163265,3.693877551020408
AARS2,0.576530612244898,0.017857142857142856,3.1760204081632653
AARSD1,0.6224489795918368,0.017857142857142856,3.2193877551020407
AASDHPPT,0.45408163265306123,0.06887755102040816,2.811224489795918
AASS,0.5918367346938775,0.012755102040816327,3.2372448979591835
AATF,0.6198979591836735,0.017857142857142856,3.267857142857143
ABAT,0.5306122448979592,0.03826530612244898,3.2244897959183674
ABCA1,0.45663265306122447,0.1096938775510204,2.6683673469387754
ABCA2,0.4744897959183674,0.09948979591836735,2.7193877551020407
ABCA7,0.5153061224489796,0.07142857142857142,2.767857142857143
ABCB1,0.6020408163265306,0.00510204081632653,3.318877551020408
ABCB10,0.6632653061224489,0.02040816326530612,3.2244897959183674
ABCB4,0.5994897959183674,0.00510204081632653,3.316326530612245
ABCB6,0.35459183673469385,0.10204081632653061,2.433673469387755
ABCB7,0.21428571428571427,0.34183673469387754,2.038265306122449
ABCC1,0.5357142857142857,0.030612244897959183,2.8979591836734695
ABCC11,0.5102040816326531,0.03571428571428571,2.941326530612245
ABCC3,0.6403061224489796,0.012755102040816327,3.3520408163265305
ABCC8,0.35714285714285715,0.08673469387755102,2.443877551020408
ABCC9,0.6020408163265306,0.02040816326530612,3.2346938775510203
ABCD1,0.23469387755102042,0.33418367346938777,2.066326530612245
