gene,amp_freq,del_freq,mean_cnv
A1BG,0.4774066797642436,0.03929273084479371,2.7524557956777995
A1CF,0.3988212180746562,0.04518664047151277,2.6090373280943027
A2M,0.518664047151277,0.025540275049115914,3.1571709233791747
A4GALT,0.44793713163064836,0.025540275049115914,2.8094302554027504
A4GNT,0.7053045186640472,0.003929273084479371,3.848722986247544
AAAS,0.46168958742632615,0.019646365422396856,2.744597249508841
AACS,0.4577603143418468,0.019646365422396856,2.764243614931238
AADAT,0.33398821218074654,0.10019646365422397,2.418467583497053
AAK1,0.47544204322200395,0.0019646365422396855,2.9037328094302555
AAMP,0.343811394891945,0.09037328094302555,2.4597249508840866
AANAT,0.48722986247544203,0.03732809430255403,2.868369351669941
AAR2,0.5697445972495089,0.019646365422396856,3.2848722986247543
AARS2,0.4675834970530452,0.0412573673870334,2.8526522593320234
AARSD1,0.449901768172888,0.019646365422396856,2.787819253438114
AASDHPPT,0.3163064833005894,0.18271119842829076,2.432220039292731
AASS,0.44204322200392926,0.08055009823182711,2.7662082514734774
AATF,0.44204322200392926,0.019646365422396856,2.793713163064833
ABAT,0.4774066797642436,0.029469548133595286,2.8015717092337917
ABCA1,0.5363457760314342,0.03143418467583497,3.017681728880157
ABCA2,0.5284872298624754,0.05108055009823183,2.9783889980353635
ABCA7,0.3575638506876228,0.11787819253438114,2.418467583497053
ABCB1,0.5108055009823183,0.023575638506876228,3.1591355599214146
ABCB10,0.5442043222003929,0.007858546168958742,3.031434184675835
ABCB4,0.5108055009823183,0.023575638506876228,3.1139489194499017
ABCB6,0.33988212180746563,0.09037328094302555,2.4557956777996073
ABCB7,0.15520628683693516,0.4086444007858546,1.8664047151277015
ABCC1,0.4636542239685658,0.03339882121807466,2.7662082514734774
ABCC11,0.45579567779960706,0.07072691552062868,2.7799607072691552
ABCC3,0.46168958742632615,0.011787819253438114,2.8271119842829076
ABCC8,0.3889980353634578,0.08644400785854617,2.583497053045187
ABCC9,0.5147347740667977,0.023575638506876228,3.2023575638506876
ABCD1,0.21414538310412573,0.35363457760314343,1.9980353634577603
ABCD2,0.4518664047151277,0.025540275049115914,2.7799607072691552
ABCD3,0.3889980353634578,0.047151277013752456,2.595284872298625
ABCD4,0.4950884086444008,0.03536345776031434,3.0471512770137523
ABCE1,0.36345776031434185,0.07269155206286837,2.5147347740667976
ABCF1,0.449901768172888,0.04911591355599214,2.8231827111984282
ABCG1,0.30844793713163066,0.10216110019646366,2.3772102161100195
ABCG2,0.381139489194499,0.060903732809430254,2.5717092337917484
ABCG4,0.3025540275049116,0.1905697445972495,2.3084479371316307
ABCG8,0.4774066797642436,0.007858546168958742,2.9096267190569747
ABHD12,0.5324165029469549,0.03339882121807466,3.1257367387033397
