gene,amp_freq,del_freq,mean_cnv
A1BG,0.1347517730496454,0.014184397163120567,2.25177304964539
A1CF,0.14184397163120568,0.02127659574468085,2.2127659574468086
A2M,0.4432624113475177,0.0035460992907801418,2.7092198581560285
A4GALT,0.11347517730496454,0.08865248226950355,2.145390070921986
A4GNT,0.3829787234042553,0.0070921985815602835,2.549645390070922
AAAS,0.44680851063829785,0.0,2.719858156028369
AACS,0.45390070921985815,0.0,2.7411347517730498
AADAT,0.13120567375886524,0.03546099290780142,2.1914893617021276
AAK1,0.2127659574468085,0.0070921985815602835,2.404255319148936
AAMP,0.22695035460992907,0.024822695035460994,2.404255319148936
AANAT,0.6950354609929078,0.0,3.102836879432624
AAR2,0.3900709219858156,0.0035460992907801418,2.645390070921986
AARS2,0.13120567375886524,0.028368794326241134,2.372340425531915
AARSD1,0.6595744680851063,0.0,3.0319148936170213
AASDHPPT,0.11347517730496454,0.04609929078014184,2.1950354609929077
AASS,0.6453900709219859,0.0,3.145390070921986
AATF,0.6524822695035462,0.0,3.0106382978723403
ABAT,0.5602836879432624,0.0035460992907801418,2.872340425531915
ABCA1,0.10283687943262411,0.03900709219858156,2.1595744680851063
ABCA2,0.10638297872340426,0.03900709219858156,2.1631205673758864
ABCA7,0.1347517730496454,0.014184397163120567,2.2375886524822697
ABCB1,0.6418439716312057,0.0,3.0886524822695036
ABCB10,0.1524822695035461,0.028368794326241134,2.3049645390070923
ABCB4,0.6418439716312057,0.0,3.0886524822695036
ABCB6,0.22695035460992907,0.024822695035460994,2.404255319148936
ABCB7,0.05319148936170213,0.6843971631205674,1.4397163120567376
ABCC1,0.5602836879432624,0.0035460992907801418,2.8652482269503547
ABCC11,0.5567375886524822,0.010638297872340425,2.8333333333333335
ABCC3,0.6843971631205674,0.0,3.0673758865248226
ABCC8,0.13120567375886524,0.01773049645390071,2.265957446808511
ABCC9,0.450354609929078,0.0,2.7375886524822697
ABCD1,0.06028368794326241,0.6808510638297872,1.4574468085106382
ABCD2,0.450354609929078,0.0,2.726950354609929
ABCD3,0.09929078014184398,0.05319148936170213,2.1560283687943262
ABCD4,0.09929078014184398,0.08865248226950355,2.099290780141844
ABCE1,0.13120567375886524,0.03546099290780142,2.1914893617021276
ABCF1,0.11702127659574468,0.0425531914893617,2.1843971631205674
ABCG1,0.1595744680851064,0.0851063829787234,2.2056737588652484
ABCG2,0.13120567375886524,0.031914893617021274,2.198581560283688
ABCG4,0.11347517730496454,0.03900709219858156,2.1914893617021276
ABCG8,0.2127659574468085,0.0070921985815602835,2.4078014184397163
ABHD12,0.3900709219858156,0.0,2.641843971631206
ABHD5,0.2907801418439716,0.04609929078014184,2.397163120567376
ABHD6,0.29432624113475175,0.04964539007092199,2.397163120567376
ABI1,0.1524822695035461,0.01773049645390071,2.2588652482269502
ABI2,0.23404255319148937,0.014184397163120567,2.4361702127659575
ABI3,0.6808510638297872,0.0,3.049645390070922
ABL1,0.10638297872340426,0.03900709219858156,2.1631205673758864
ABL2,0.14893617021276595,0.028368794326241134,2.3191489361702127
ABLIM2,0.1453900709219858,0.031914893617021274,2.234042553191489
ABLIM3,0.1950354609929078,0.02127659574468085,2.368794326241135
ABR,0.5957446808510638,0.024822695035460994,2.8191489361702127
ABRA,0.19858156028368795,0.014184397163120567,2.375886524822695
ABRAXAS1,0.13120567375886524,0.031914893617021274,2.198581560283688
ABRAXAS2,0.14893617021276595,0.028368794326241134,2.2127659574468086
ABT1,0.11702127659574468,0.0425531914893617,2.1914893617021276
ABTB1,0.3829787234042553,0.0070921985815602835,2.5602836879432624
ACAA1,0.2978723404255319,0.0425531914893617,2.4113475177304964
ACAA2,0.11347517730496454,0.08156028368794327,2.1347517730496453
ACACA,0.6524822695035462,0.0,3.021276595744681
ACACB,0.450354609929078,0.0,2.734042553191489
ACAD10,0.450354609929078,0.0,2.734042553191489
