gene,amp_freq,del_freq,mean_cnv
A1BG,0.2222222222222222,0.0,2.4213836477987423
A1CF,0.20964360587002095,0.0440251572327044,2.3333333333333335
A2M,0.16981132075471697,0.0880503144654088,2.247379454926625
A4GALT,0.20545073375262055,0.033542976939203356,2.3333333333333335
A4GNT,0.2746331236897275,0.008385744234800839,2.607966457023061
AAAS,0.22851153039832284,0.0020964360587002098,2.440251572327044
AACS,0.22012578616352202,0.050314465408805034,2.40251572327044
AADAT,0.22431865828092243,0.020964360587002098,2.392033542976939
AAK1,0.20964360587002095,0.025157232704402517,2.360587002096436
AAMP,0.22431865828092243,0.012578616352201259,2.4046121593291403
AANAT,0.23270440251572327,0.020964360587002098,2.4213836477987423
AAR2,0.22851153039832284,0.016771488469601678,2.4318658280922434
AARS2,0.22851153039832284,0.010482180293501049,2.406708595387841
AARSD1,0.20545073375262055,0.06289308176100629,2.3123689727463312
AASDHPPT,0.2222222222222222,0.039832285115303984,2.3878406708595388
AASS,0.27253668763102723,0.014675052410901468,2.542976939203354
AATF,0.20964360587002095,0.031446540880503145,2.3542976939203353
ABAT,0.24737945492662475,0.0,2.459119496855346
ABCA1,0.2578616352201258,0.0041928721174004195,2.5283018867924527
ABCA2,0.25366876310272535,0.0,2.5136268343815513
ABCA7,0.2138364779874214,0.014675052410901468,2.3668763102725365
ABCB1,0.2830188679245283,0.0020964360587002098,2.6247379454926625
ABCB10,0.22431865828092243,0.06289308176100629,2.3752620545073375
ABCB4,0.2830188679245283,0.0020964360587002098,2.6184486373165616
ABCB6,0.22012578616352202,0.020964360587002098,2.3857442348008386
ABCB7,0.008385744234800839,0.779874213836478,1.2327044025157232
ABCC1,0.24528301886792453,0.0020964360587002098,2.457023060796646
ABCC11,0.20545073375262055,0.06918238993710692,2.3270440251572326
ABCC3,0.22431865828092243,0.008385744234800839,2.4213836477987423
ABCC8,0.23270440251572327,0.0020964360587002098,2.429769392033543
ABCC9,0.18658280922431866,0.08176100628930817,2.2830188679245285
