gene,avg_crispr_effect
A1BG,-0.0019272614719654812
A1CF,-0.06523862620559509
A2M,-0.041945094029736577
A4GALT,-0.07340334960601233
A4GNT,0.11499114626536631
AAAS,-0.23753524405539508
AACS,-0.03306023415925297
AADAT,-0.013630310245536206
AAK1,-0.21360301302706103
AAMP,-0.9698247117442839
AANAT,-0.14700882340364238
AAR2,-0.01997503302427494
AARS2,-0.6050543996235652
AARSD1,-0.21880448736772815
AASDHPPT,-0.2964435661266401
AASS,0.04144435657136303
AATF,-0.6495157891986547
ABAT,0.002403330628917002
ABCA1,0.05215422091469643
ABCA2,-0.026993378545641135
ABCA7,0.03777364982132021
ABCB1,-0.11716089497317218
ABCB10,-0.23070684789738463
ABCB4,-0.04611752959410154
ABCB6,-0.012977063458526446
ABCB7,-0.9437968224223117
ABCC1,0.050383730277821656
ABCC11,0.04872081841754556
ABCC3,-0.06228593600006914
ABCC8,0.030972580494705953
ABCC9,-0.019965230537624105
ABCD1,-0.16947466027596578
ABCD2,0.057310973184395854
ABCD3,-0.11166476039814875
ABCD4,-0.14571138376272863
ABCE1,-1.890028809875921
ABCF1,-1.00126935489457
ABCG1,-0.04823269553779775
ABCG2,0.13359957106928247
ABCG4,-0.03232313485800251
ABCG8,-0.019514691531407922
ABHD12,-0.02205736231096735
ABHD5,-0.07365173216757204
ABHD6,0.09955126279134965
ABI1,-0.11135541041324068
ABI2,0.05599012147666879
ABI3,0.018592561422214125
ABL1,-0.07830388007112202
ABL2,0.1001601605948536
ABLIM2,0.004354346166025184
ABLIM3,0.03757629629509692
ABR,-0.08711412579883857
ABRA,-0.09643432327185736
ABRAXAS1,-0.24040261111442632
ABRAXAS2,0.19110169655965978
ABT1,-0.7755565053268648
ABTB1,0.07313862863342777
ACAA1,0.0684217561622328
ACAA2,-0.05723635562966783
ACACA,-0.45119398061886934
ACACB,-0.10441862223412303
ACAD10,-0.09956775561922732
ACAD8,0.080613957203832
ACAD9,-0.18810188298473854
ACADL,-0.10873492670963872
ACADM,-0.040579948393541614
ACADS,-0.20679671413160725
ACADSB,-0.0502468941160233
ACADVL,-0.047637589289961105
ACAN,-0.0612174968609748
ACAT1,0.1073235510286586
ACAT2,0.0866274607269665
ACBD3,0.0031553245893800297
ACBD6,0.08757580852455252
ACE,-0.044959718184458104
ACE2,0.23749432800191603
ACER1,-0.0426657039209679
ACER2,-0.011425507453075913
ACER3,0.10925718294814649
ACHE,-0.31596639077416666
ACIN1,-0.7030437448602977
ACKR1,-0.04769930498683649
ACKR2,0.036628016074675626
ACKR3,0.0752858594058024
ACLY,-0.5900725284352613
ACMSD,0.1174970817705572
ACO1,0.06861697951864065
ACO2,-1.0221997052804477
ACOT1,0.24418262171468036
ACOT11,0.0030226593615722214
ACOT12,-0.20063396002441686
ACOT13,0.03816765622550611
ACOT2,0.12216639214961905
ACOT4,-0.14853735253162237
ACOT7,0.04538168704752761
ACOT8,0.04396587848704504
ACOX1,-0.14321893567521143
ACOX2,0.0066262944647563
ACOX3,0.08175927454349025
ACP1,0.1427752743447637
ACP2,0.09494529318267311
ACP5,-0.012537844951539175
ACR,-0.1503933762619387
ACSBG1,0.03685167284569726
ACSF3,0.049039530804084894
ACSL1,0.019864646426752834
ACSL3,-0.29400162172243377
ACSL4,0.020527387718852676
ACSL5,0.0690710244589833
ACSM1,-0.028782563923388703
ACSM2B,0.15749311215295544
ACSM5,0.009440223773982542
ACSS1,0.11649847864026738
ACSS2,0.18190248405112375
ACSS3,0.0850743711945672
ACTA1,-0.14765679617233374
ACTBL2,-0.043878705960526246
ACTC1,-0.04835337064445543
ACTG1,-1.033336384669744
ACTG2,0.03843323807331011
ACTL6A,-1.6169028753672896
ACTL6B,0.07162199125461514
ACTL7A,-0.16233147482736968
ACTN1,-0.10186228314785989
ACTN2,-0.0031133806016526936
ACTN3,-0.21283336031824507
ACTN4,0.04127878258596128
ACTR10,-1.039095176799063
ACTR1A,-0.6928649783089083
ACTR1B,-0.26755849426250394
ACTR2,-1.596514403978812
ACTR3,-0.3880018105310842
ACTR3B,-0.13779069413868913
ACTR3C,-0.07342598650060629
ACTR5,-0.25664196932780786
ACTR6,-0.4794556465734357
ACTR8,-0.6094225272402048
ACVR1,0.021462300464485724
ACVR1B,-0.11683121636317624
ACVR1C,0.121598123297293
ACVR2A,-0.028189159044327138
ACVR2B,0.10136035761241526
ACVRL1,-0.018928308279364515
ACY1,0.025983537166091305
ACYP2,0.13318157175149956
ADA,0.0050342632489799545
ADAM10,-0.01280638261689743
ADAM11,-0.24917170139530168
ADAM12,-0.09423712827346332
ADAM15,-0.07245709336125306
ADAM17,-0.04050945111765822
ADAM19,0.14530524346622242
ADAM2,-0.030811777904279438
ADAM21,0.06066627370201434
ADAM22,0.025932881002819354
ADAM28,0.160961071934161
ADAM30,-0.14208069006452645
ADAM8,0.22382785153183737
ADAM9,-0.00739618579356554
ADAMTS1,0.030567853963478827
ADAMTS12,0.13394432365496772
ADAMTS13,-0.031761152254246035
ADAMTS18,0.10006758535645247
ADAMTS2,0.00897925936340662
